Ürün Adı,Fiyat,Ekran Boyutu,Dahili Depolama,Bellek (RAM),Batarya Kapasitesi,Teknik Puan,Link
Apple iPhone 11 Pro,12759.6,5.8 İnç,64 GB,4 GB,3046 mAh,77.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11-pro.html
Realme X2 Pro,,6.5 İnç,128 GB,8 GB,4000 mAh,76.0,https://www.epey.com/akilli-telefonlar/realme-x2-pro.html
Samsung Galaxy A72,,6.7 İnç,256 GB,8 GB,5000 mAh,76.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a72-256gb.html
Poco X3 GT,4898.99,6.67 İnç,256 GB,8 GB,5000 mAh,76.0,https://www.epey.com/akilli-telefonlar/poco-x3-gt-256gb.html
Poco X3 Pro,3775.68,6.67 İnç,256 GB,8 GB,5160 mAh,76.0,https://www.epey.com/akilli-telefonlar/poco-x3-pro-256gb.html
Samsung Galaxy S10 Lite,6465.5,6.7 İnç,128 GB,8 GB,4500 mAh,75.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s10-lite.html
Xiaomi Mi 9,4639.99,6.39 İnç,128 GB,6 GB,3300 mAh,75.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9-128gb.html
Samsung Galaxy Note 9,,6.4 İnç,512 GB,8 GB,4000 mAh,75.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-9-512gb.html
Samsung Galaxy A72,4984.8,6.7 İnç,128 GB,8 GB,5000 mAh,75.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a72.html
LG G8s ThinQ,,6.21 İnç,128 GB,6 GB,3550 mAh,75.0,https://www.epey.com/akilli-telefonlar/lg-g8s-thinq.html
Poco X3 GT,4165.47,6.67 İnç,128 GB,8 GB,5000 mAh,75.0,https://www.epey.com/akilli-telefonlar/poco-x3-gt.html
Samsung Galaxy S10e,7043.54,5.8 İnç,128 GB,6 GB,3100 mAh,74.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s10e.html
Xiaomi Mi 9,,6.39 İnç,64 GB,6 GB,3300 mAh,74.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9.html
Oppo Reno 3 Pro,6714.47,6.5 İnç,256 GB,12 GB,4025 mAh,74.0,https://www.epey.com/akilli-telefonlar/oppo-reno-3-pro.html
Poco X3 Pro,3522.84,6.67 İnç,128 GB,6 GB,5160 mAh,74.0,https://www.epey.com/akilli-telefonlar/poco-x3-pro.html
TCL 20 Pro 5G,8414.01,6.67 İnç,256 GB,6 GB,4500 mAh,73.0,https://www.epey.com/akilli-telefonlar/tcl-20-pro-5g.html
Huawei Mate Xs,17966.67,6.6 İnç,512 GB,8 GB,4500 mAh,73.0,https://www.epey.com/akilli-telefonlar/huawei-mate-xs.html
Samsung Galaxy A52,4044.57,6.5 İnç,128 GB,8 GB,4500 mAh,73.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-a52.html
Xiaomi Mi 9T Pro,,6.39 İnç,128 GB,6 GB,4000 mAh,73.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9t-pro-128gb.html
LG Wing,,6.8 İnç,128 GB,8 GB,4000 mAh,72.0,https://www.epey.com/akilli-telefonlar/lg-wing.html
Xiaomi Mi Note 10 Pro,,6.47 İnç,256 GB,8 GB,5260 mAh,72.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-note-10-pro.html
Samsung Galaxy Z Flip,7599.0,6.7 İnç,256 GB,8 GB,3300 mAh,72.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-z-flip.html
Apple iPhone 11,9655.0,6.1 İnç,256 GB,4 GB,3110 mAh,72.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11-256gb.html
Samsung Galaxy S9+ (Plus),,6.2 İnç,256 GB,6 GB,3500 mAh,72.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s9-plus-256gb.html
Apple iPhone XS Max,13660.0,6.5 İnç,512 GB,4 GB,3174 mAh,72.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xs-max-512gb.html
Samsung Galaxy Note 9,7765.5,6.4 İnç,128 GB,6 GB,4000 mAh,72.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note9.html
Apple iPhone 11,8499.0,6.1 İnç,128 GB,4 GB,3110 mAh,71.0,https://www.epey.com/akilli-telefonlar/apple-iphone-11-128gb.html
Xiaomi Mi 9T Pro,,6.39 İnç,64 GB,6 GB,4000 mAh,71.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-9t-pro.html
Vivo X51 5G,8999.0,6.56 İnç,256 GB,8 GB,4315 mAh,71.0,https://www.epey.com/akilli-telefonlar/vivo-x51-5g.html
Apple iPhone XS Max,,6.5 İnç,256 GB,4 GB,3174 mAh,71.0,https://www.epey.com/akilli-telefonlar/apple-iphone-xs-max-256gb.html
Samsung Galaxy S9+ (Plus),,6.2 İnç,128 GB,6 GB,3500 mAh,71.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s9-plus-128gb.html
OnePlus 9 Pro,13019.07,6.7 İnç,256 GB,12 GB,4500 mAh,100.0,https://www.epey.com/akilli-telefonlar/oneplus-9-pro.html
Samsung Galaxy S21 Ultra 5G,14649.0,6.8 İnç,256 GB,12 GB,5000 mAh,99.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s21-ultra-256gb.html
Huawei Mate 40 Pro,,6.76 İnç,256 GB,8 GB,4400 mAh,94.0,https://www.epey.com/akilli-telefonlar/huawei-mate-40-pro.html
OnePlus 8 Pro,10614.04,6.78 İnç,256 GB,12 GB,4510 mAh,94.0,https://www.epey.com/akilli-telefonlar/oneplus-8-pro-256gb.html
Samsung Galaxy S20 Ultra,11483.5,6.9 İnç,128 GB,12 GB,5000 mAh,93.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s20-ultra.html
Xiaomi Mi 11,10509.0,6.81 İnç,256 GB,8 GB,4600 mAh,92.0,https://www.epey.com/akilli-telefonlar/xiaomi-mi-11-256gb.html
Samsung Galaxy S21 Plus 5G,10229.07,6.7 İnç,256 GB,8 GB,4800 mAh,92.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s21-plus-256gb.html
Samsung Galaxy S21 5G,8192.37,6.2 İnç,128 GB,8 GB,4000 mAh,90.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s21.html
Oppo Find X2,,6.7 İnç,256 GB,12 GB,4200 mAh,90.0,https://www.epey.com/akilli-telefonlar/oppo-find-x2.html
Huawei P40 Pro,10694.07,6.58 İnç,256 GB,8 GB,4200 mAh,89.0,https://www.epey.com/akilli-telefonlar/huawei-p40-pro.html
Apple iPhone 12 Pro Max,17669.07,6.7 İnç,512 GB,6 GB,3687 mAh,89.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-pro-max-512gb.html
Samsung Galaxy Note 20 Ultra,11532.0,6.9 İnç,256 GB,8 GB,4500 mAh,89.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-20-ultra.html
Samsung Galaxy Note10+ Star Wars Special Edition,,6.8 İnç,256 GB,12 GB,4300 mAh,88.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-10-plus-star-wars-special-edition.html
OnePlus 9,10601.07,6.55 İnç,128 GB,8 GB,4500 mAh,88.0,https://www.epey.com/akilli-telefonlar/oneplus-9.html
Samsung Galaxy Note 10+ (Plus),9499.99,6.8 İnç,256 GB,12 GB,4300 mAh,88.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-note-10-plus.html
Apple iPhone 12 Pro,15345.0,6.1 İnç,512 GB,6 GB,2815 mAh,88.0,https://www.epey.com/akilli-telefonlar/apple-iphone-12-pro-512gb.html
Samsung Galaxy S20 FE,5578.99,6.5 İnç,256 GB,8 GB,4500 mAh,87.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s20-fe-sm-g780g-256.html
Samsung Galaxy S20+ Plus BTS Edition,,6.7 İnç,128 GB,8 GB,4500 mAh,87.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s20-plus-plus-bts-edition.html
Samsung Galaxy S20+ Plus,9119.04,6.7 İnç,128 GB,8 GB,4500 mAh,87.0,https://www.epey.com/akilli-telefonlar/samsung-galaxy-s20-plus.html
