Ürün Adı,Fiyat,Etkin Piksel,Video Çözünürlüğü,Çıkış Yılı,Teknik Puan,Link
Fujifilm GFX 50S 63mm,,51 MP,Full HD,2017 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50s-63mm.html
Fujifilm GFX 50S 120mm,,51 MP,Full HD,2017 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50s-120mm.html
Fujifilm GFX 50S 110mm,,51 MP,Full HD,2017 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50s-110mm.html
Fujifilm X-T30 50mm,,26 MP,4K,2019 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t30-50mm.html
Fujifilm X-T30 23mm,,26 MP,4K,2019 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t30-23mm.html
Fujifilm X-T30 35mm,,26 MP,4K,2019 ,76,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-t30-35mm.html
Fujifilm GFX 50S,,51 MP,Full HD,2017 ,75,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-gfx-50s.html
Fujifilm X-H1,,24 MP,4K,2018 ,75,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-h1.html
Pentax 645Z,,51 MP,Full HD,2014 ,75,https://www.epey.com/dslr-fotograf-makinesi/pentax-645z.html
Pentax K-1,,36 MP,Full HD,2016 ,74,https://www.epey.com/dslr-fotograf-makinesi/pentax-k-1.html
Canon EOS 850D,,24 MP,Ultra HD,2020 ,74,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-850d.html
Canon EOS M50 55-200mm,,24 MP,Ultra HD,2018 ,74,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m50-55-200mm.html
Canon EOS M50,,24 MP,Ultra HD,2018 ,73,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m50.html
Canon EOS M50 Mark II,,24 MP,Ultra HD,2020 ,73,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m50-mark-ii.html
Canon EOS 250D,,24 MP,Ultra HD,2019 ,73,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-250d.html
Panasonic Lumix G90H,,20 MP,Ultra HD,2019 ,72,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-g90h.html
Sony DSC-RX1R II,,42 MP,Full HD,2015 ,72,https://www.epey.com/kompakt-fotograf-makinesi/sony-dsc-rx1r-ii.html
Panasonic Lumix G90M,,20 MP,Ultra HD,2019 ,72,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-g90m.html
Sony A7S II 35mm,,12 MP,Full HD,2016 ,72,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7s-ii-35mm.html
Sony A7S II 24-70mm,,12 MP,Full HD,2016 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a7s-ii-24-70mm.html
Canon EOS M6 Mark II 18-150mm,,32 MP,Ultra HD,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m6-mark-ii-18-150mm.html
Canon EOS M200,,24 MP,Ultra HD,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m200.html
Panasonic Lumix G90,,20 MP,Ultra HD,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/panasonic-lumix-g90.html
Canon EOS M6 Mark II,,32 MP,Ultra HD,2019 ,71,https://www.epey.com/aynasiz-fotograf-makinesi/canon-eos-m6-mark-ii.html
Nikon D750 16-28mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-16-28mm.html
Fujifilm X-E4 27mm,,26 MP,-,2021 ,70,https://www.epey.com/aynasiz-fotograf-makinesi/fujifilm-x-e4-27mm.html
Nikon D750 24-120mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-24-120mm.html
Nikon D750 24-70mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-24-70mm.html
Nikon D750 24-85mm,,24 MP,Full HD,2015 ,70,https://www.epey.com/dslr-fotograf-makinesi/nikon-d750-24-85mm.html
Canon EOS-1D X,,18 MP,Full HD,2012 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-1d-x.html
Canon EOS 5DS R 24-105mm,,50 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5ds-r-24-105mm.html
Nikon D810A,,36 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810a.html
Canon EOS 5DS R 24-70mm,,50 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5ds-r-24-70mm.html
Canon EOS 77D 18-200m,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-18-200m.html
Canon EOS 77D 24-105mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-24-105mm.html
Canon EOS 77D 70-300mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-70-300mm.html
Canon EOS 77D 24-70mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-24-70mm.html
Canon EOS 77D 11-16mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-11-16mm.html
Canon EOS 77D 55-250mm,,24 MP,Full HD,2017 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-77d-55-250mm.html
Canon EOS 5DS R,,50 MP,Full HD,2015 ,69,https://www.epey.com/dslr-fotograf-makinesi/canon-eos-5ds-r.html
Sony A6300 18-105mm,,24 MP,Ultra HD,2016 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6300-18-105-mm.html
Sony A6300 16-50mm,,24 MP,Ultra HD,2016 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6300-16-50mm.html
Sony ZV-1 Vlogger Kit,,20 MP,Ultra HD,2020 ,68,https://www.epey.com/kompakt-fotograf-makinesi/sony-zv-1-vlogger-kit.html
Sony A6300,,24 MP,Ultra HD,2016 ,68,https://www.epey.com/aynasiz-fotograf-makinesi/sony-a6300.html
Nikon D810 24-70mm,,36 MP,Full HD,2014 ,68,https://www.epey.com/dslr-fotograf-makinesi/nikon-d810-24-70mm.html
