Ürün Adı,Fiyat,Ekran Boyutu,Bellek (RAM),İşlemci Modeli,Teknik Puan,Link
Huawei MateBook 14 R7 (16GB/512SSD),,14.0 İnç,16 GB,AMD Ryzen 7 4800H,,https://track.adform.net/C/?bn=50429250
Casper Excalibur G900.1180-BV60A-B,16599.0,15.6 İnç,16 GB,Intel Core i7-11800H,68.0,https://www.epey.com/laptop/casper-excalibur-g900-1180-bv60a-b.html
Monster Abra A5 V18.2.1,14221.3,15.6 İnç,16 GB,Intel Core i7-11800H,68.0,https://www.epey.com/laptop/monster-abra-a5-v18-2-1.html
Lenovo ThinkPad P15 20ST000FTX05,36574.05,15.6 İnç,64 GB,Intel Core i7-10850H,68.0,https://www.epey.com/laptop/lenovo-thinkpad-p15-20st000ftx05.html
Dell G15 Gaming 5511 SIF15TGLH22012801P11,22916.04,15.6 İnç,64 GB,Intel Core i7-11800H,68.0,https://www.epey.com/laptop/dell-g15-gaming-5511-sif15tglh22012801p11.html
Monster Abra A7 V13.3.1,13856.07,17.3 İnç,16 GB,Intel Core i7-11800H,68.0,https://www.epey.com/laptop/monster-abra-a7-v13-3-1.html
Monster Abra A7 V11.5.1,14321.07,17.3 İnç,16 GB,Intel Core i7-11800H,67.0,https://www.epey.com/laptop/monster-abra-a7-v11-5-1.html
Asus ROG Zephyrus G14 GA401IV-HA127T,16574.02,14.0 İnç,16 GB,AMD Ryzen 9 4900HS,67.0,https://www.epey.com/laptop/asus-rog-zephyrus-g14-ga401iv-ha127t.html
Gigabyte AORUS 15P XD,27644.05,15.6 İnç,16 GB,Intel Core i7-11800H,67.0,https://www.epey.com/laptop/gigabyte-aorus-15p-xd.html
Lenovo ThinkPad P15 20ST000FTX04,35956.56,15.6 İnç,64 GB,Intel Core i7-10850H,67.0,https://www.epey.com/laptop/lenovo-thinkpad-p15-20st000ftx04.html
Game Garaj Slayer 7XL-3060,15186.36,17.3 İnç,16 GB,Intel Core i7-11800H,67.0,https://www.epey.com/laptop/game-garaj-slayer-7xl-3060.html
Casper Excalibur G770.1140-D6J0X-B,12499.0,15.6 İnç,32 GB,Intel Core i5-11400H,67.0,https://www.epey.com/laptop/casper-excalibur-g770-1140-d6j0x-b.html
Asus ROG Zephyrus G14 GA401QE-K2016,18099.0,14.0 İnç,16 GB,AMD Ryzen 7 5800HS,67.0,https://www.epey.com/laptop/asus-rog-zephyrus-g14-ga401qe-k2016.html
Lenovo ThinkPad P15 20ST000FTX03,35101.55,15.6 İnç,64 GB,Intel Core i7-10850H,67.0,https://www.epey.com/laptop/lenovo-thinkpad-p15-20st000ftx03.html
HP OMEN 15-ek1015nt (4H231EA),22459.0,15.6 İnç,16 GB,Intel Core i7-10870H,67.0,https://www.epey.com/laptop/hp-omen-15-ek1015nt-4h231ea.html
Lenovo ThinkPad P1 (3) 20TH0018TX,44309.93,15.6 İnç,16 GB,Intel Core i9-10885H,67.0,https://www.epey.com/laptop/lenovo-thinkpad-p1-3-20th0018tx.html
Gigabyte AORUS 15G KC,21193.55,15.6 İnç,16 GB,Intel Core i7-10870H,67.0,https://www.epey.com/laptop/gigabyte-aorus-15g-kc.html
HP ZBook Fury 17 G7 (2C9T0EA),36944.0,17.3 İnç,32 GB,Intel Core i9-10885H,67.0,https://www.epey.com/laptop/hp-zbook-fury-17-g7-2c9t0ea.html
Gigabyte AORUS 15P KC,21198.42,15.6 İnç,16 GB,Intel Core i7-10870H,66.0,https://www.epey.com/laptop/gigabyte-aorus-15p-kc.html
ASUS TUF Gaming F17 FX706HM-HX037T,23274.0,17.3 İnç,16 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/asus-tuf-gaming-f17-fx706hm-hx037t.html
HP OMEN 15-ek1009nt (4H0H7EA),19344.0,15.6 İnç,32 GB,Intel Core i7-10870H,66.0,https://www.epey.com/laptop/hp-omen-15-ek1009nt-4h0h7ea.html
Dell G15 5510 Ryzen Edition SIF15CEZH22012101P07,18596.04,15.6 İnç,64 GB,AMD Ryzen 7 5800H,66.0,https://www.epey.com/laptop/dell-g15-5510-ryzen-edition-sif15cezh22012101p07.html
Monster Abra A5 V18.1.1,13748.8,15.6 İnç,16 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/monster-abra-a5-v18-1-1.html
MSI GS66 Stealth 10SF-462TR,20370.0,15.6 İnç,32 GB,Intel Core i7-10875H,66.0,https://www.epey.com/laptop/msi-gs66-stealth-10sf-462tr.html
MSI Katana GF76 11UD-288XTR,16902.14,17.3 İnç,16 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/msi-katana-gf76-11ud-288xtr.html
MSI Katana GF76 11UD-059XTR,16565.32,17.3 İnç,16 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/msi-katana-gf76.html
Dell G15 Gaming 5511 SIF15TGLH22012801P08,21140.04,15.6 İnç,64 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/dell-g15-gaming-5511-sif15tglh22012801p08.html
HP ZBook Studio G7 (1J3W7EA),60769.64,15.6 İnç,32 GB,Intel Core i9-10885H,66.0,https://www.epey.com/laptop/hp-zbook-studio-g7-1j3w7ea.html
MSI Katana GF66 11UD-207XTR,15199.05,15.6 İnç,16 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/msi-katana-gf66-11ud-207xtr.html
Lenovo ThinkPad P15 20ST005WTX,42411.52,15.6 İnç,32 GB,Intel Core i9-10885H,66.0,https://www.epey.com/laptop/lenovo-thinkpad-p15-20st005wtx.html
MSI Katana GF66 11UC-208TR,15563.22,15.6 İnç,16 GB,Intel Core i7-11800H,66.0,https://www.epey.com/laptop/msi-katana-gf66-11uc-208tr.html
Lenovo ThinkPad P53 20QN003XTX,60229.05,15.6 İnç,32 GB,Intel Xeon E-2276M,66.0,https://www.epey.com/laptop/lenovo-thinkpad-p53-20qn003xtx.html
