Ürün Adı,Fiyat,Kategori,Silindir Hacmi,Beygir Gücü (bg),Teknik Puan,Link
Mondial RX3i Evo,31570.0,Touring,250 cc,24.7 ,36.0,https://www.epey.com/motosiklet/mondial-rx3i-evo.html
Yuki Afşin 250,17099.0,Touring,223 cc,17.5 ,30.0,https://www.epey.com/motosiklet/yuki-afsin-250.html
Yuki TN125-E,18750.0,Touring,125 cc,10.72 ,23.0,https://www.epey.com/motosiklet/yuki-tn125-e.html
Mondial 100 MG Superboy,12590.0,Touring,97 cc,9.1 ,21.0,https://www.epey.com/motosiklet/mondial-100-mg-superboy.html
Mondial 125 Drift L,22360.0,Touring,124 cc,-,21.0,https://www.epey.com/motosiklet/mondial-125-drift-l.html
Falcon Attack 100,11599.0,Commuter,97.8 cc,9.4 ,18.0,https://www.epey.com/motosiklet/falcon-attack-100.html
Yuki Gusto 50,9589.0,Cub,99 cc,5.90 ,18.0,https://www.epey.com/motosiklet/yuki-gusto-50.html
Falcon Mexico 150,17100.0,Touring,124 cc,-,18.0,https://www.epey.com/motosiklet/falcon-mexico-150.html
Mondial 100 SFC Snappy X,13370.0,Cub,97 cc,5.8 ,18.0,https://www.epey.com/motosiklet/mondial-100-sfc-snappy-x.html
Mondial Tab,13658.0,Scooter,49.46 cc,-,15.0,https://www.epey.com/motosiklet/mondial-tab.html
MotoLux ROSSI RS,13957.0,Scooter,49 cc,2.7 ,15.0,https://www.epey.com/motosiklet/motolux-rossi-rs.html
Mondial Mash 125i,17044.9,Scooter,124.6 cc,-,13.0,https://www.epey.com/motosiklet/mondial-mash-125i.html
Yuki Casper 50,10290.0,Scooter,50 cc,3.1 ,12.0,https://www.epey.com/motosiklet/yuki-casper-50.html
Falcon Dolphin 100,20270.43,Scooter,99 cc,6 ,12.0,https://www.epey.com/motosiklet/falcon-dolphin-100.html
Falcon Soft 50,11400.0,Scooter,49.4 cc,3.08 ,12.0,https://www.epey.com/motosiklet/falcon-soft-50.html
Kuba Trendy 50,13023.0,Scooter,50 cc,3.62 ,11.0,https://www.epey.com/motosiklet/kuba-trendy-50.html
Volta RS5,11625.0,Scooter,49.5 cc,-,11.0,https://www.epey.com/motosiklet/volta-rs5.html
