Ürün Adı,Fiyat,Depolama Kapasitesi,Toplam Bellek,FPS Değeri,Grafik İşleme Gücü,Teknik Puan,Link
Sony PlayStation Classic,999.0,1 GB,1 GB,-,-,20,https://www.epey.com/oyun-konsolu/sony-playstation-classic.html
Nintendo 2DS,3950.0,1 GB,0.128 GB,-,-,16,https://www.epey.com/oyun-konsolu/nintendo-2ds.html
Nintendo Switch Lite,2026.47,32 GB,-,-,-,15,https://www.epey.com/oyun-konsolu/nintendo-switch-lite.html
Gamemaster Tiger,209.0,4 GB,-,-,-,2,https://www.epey.com/oyun-konsolu/gamemaster-tiger.html
Sony PlayStation 4 Pro 500 Million Limited Edition,,2 TB,8 GB,60 fps,4.2 TFLOPs,71,https://www.epey.com/oyun-konsolu/sony-playstation-4-pro-2tb.html
Microsoft Xbox One S All-Digital Edition,,1 TB,8 GB,60 fps,1.4 TFLOPs,60,https://www.epey.com/oyun-konsolu/microsoft-xbox-one-s-all-digital-edition.html
Microsoft Xbox One S,,500 GB,8 GB,60 fps,1.4 TFLOPs,56,https://www.epey.com/oyun-konsolu/microsoft-xbox-one-s-500gb.html
Microsoft Xbox One,,1 TB,8 GB,60 fps,1.3 TFLOPs,55,https://www.epey.com/oyun-konsolu/microsoft-xbox-one-1tb.html
Microsoft Xbox One,,500 GB,8 GB,60 fps,1.3 TFLOPs,52,https://www.epey.com/oyun-konsolu/microsoft-xbox-one-500gb.html
Microsoft Xbox 360 Slim,,320 GB,0.512 GB,-,0.25 TFLOPs,37,https://www.epey.com/oyun-konsolu/microsoft-xbox-360-slim-320gb.html
Microsoft Xbox 360 E,,250 GB,0.512 GB,-,0.25 TFLOPs,36,https://www.epey.com/oyun-konsolu/microsoft-xbox-360-e-250gb.html
Sony PlayStation 3 Slim,,1 TB,0.512 GB,-,0.23 TFLOPs,36,https://www.epey.com/oyun-konsolu/sony-playstation-3-slim-1tb.html
Microsoft Xbox 360 E,,120 GB,0.512 GB,-,0.25 TFLOPs,35,https://www.epey.com/oyun-konsolu/microsoft-xbox-360-e-120gb.html
Microsoft Xbox 360 Slim,,4 GB,0.512 GB,-,0.25 TFLOPs,33,https://www.epey.com/oyun-konsolu/microsoft-xbox-360-slim-4-gb.html
Nintendo Wii U,,8 GB,2 GB,60 fps,-,32,https://www.epey.com/oyun-konsolu/nintendo-wii-u-8gb.html
Sony PlayStation 3 Slim,,250 GB,0.512 GB,-,0.23 TFLOPs,31,https://www.epey.com/oyun-konsolu/sony-playstation-3-slim-250gb.html
Sony PlayStation 3 Super Slim,,250 GB,0.512 GB,60 fps,0.23 TFLOPs,30,https://www.epey.com/oyun-konsolu/sony-playstation-3-super-slim-250gb.html
Sony PlayStation 3 Slim,,120 GB,0.512 GB,-,0.23 TFLOPs,30,https://www.epey.com/oyun-konsolu/sony-playstation-3-slim-120gb.html
Sony PlayStation 3 Super Slim,,12 GB,0.512 GB,60 fps,0.23 TFLOPs,28,https://www.epey.com/oyun-konsolu/sony-playstation-3-super-slim-12gb.html
Nintendo New 3DS XL,,4 GB,0.256 GB,-,-,15,https://www.epey.com/oyun-konsolu/nintendo-new-3ds-xl.html
