Ürün Adı,Fiyat,Ekran Boyutu,Depolama,Batarya Kapasitesi,Ağırlık,Teknik Puan,Link
Samsung E1180,,1.52 İnç,-,1000 mAh,68 gr,18.0,https://www.epey.com/tuslu-telefon/samsung-e1180.html
Samsung C260,,1.5 İnç,-,800 mAh,74 gr,15.0,https://www.epey.com/tuslu-telefon/samsung-c260.html
Nokia 150 (2020),,2.4 İnç,4 MB,1020 mAh,90.54 gr,,https://www.epey.com/tuslu-telefon/nokia-150.html
Nokia 125,,2.4 İnç,-,1020 mAh,91.3 gr,,https://www.epey.com/tuslu-telefon/nokia-125.html
Nokia 6310 (2021),,2.8 İnç,8 MB,1150 mAh,-,,https://www.epey.com/tuslu-telefon/nokia-6310-2021.html
Samsung E1190,226.78,1.43 İnç,-,800 mAh,71 gr,15.0,https://www.epey.com/tuslu-telefon/samsung-e1190.html
Samsung E1150,274.0,1.43 İnç,-,800 mAh,73 gr,15.0,https://www.epey.com/tuslu-telefon/samsung-e1150.html
BB Mobile B1280,125.0,1.43 İnç,-,600 mAh,67.3 gr,13.0,https://www.epey.com/tuslu-telefon/bb-mobile-b1280.html
Energizer Energy E241,,2.4 İnç,4096 MB,1900 mAh,93 gr,100.0,https://www.epey.com/tuslu-telefon/energizer-energy-e241.html
Alcatel 3088 4G,,2.4 İnç,4096 MB,1530 mAh,90 gr,98.0,https://www.epey.com/tuslu-telefon/alcatel-3088-4g.html
Blackview BV1000,,2.4 İnç,32 MB,3000 mAh,160 gr,76.0,https://www.epey.com/tuslu-telefon/blackview-bv1000.html
Nokia 3310 3G,,2.4 İnç,128 MB,1200 mAh,84.9 gr,66.0,https://www.epey.com/tuslu-telefon/nokia-3310-3g.html
Nokia 230,,2.8 İnç,-,1200 mAh,91.8 gr,64.0,https://www.epey.com/tuslu-telefon/nokia-230.html
Samsung S5611,,2.4 İnç,256 MB,1000 mAh,91 gr,64.0,https://www.epey.com/tuslu-telefon/samsung-s5611.html
Samsung L700,,2.1 İnç,30 MB,960 mAh,107 gr,64.0,https://www.epey.com/tuslu-telefon/samsung-l700.html
Xiaomi Qin 1s,,2.8 İnç,512 MB,1480 mAh,-,62.0,https://www.epey.com/tuslu-telefon/xiaomi-qin-1s.html
Nokia 220 4G,,2.4 İnç,24 MB,1200 mAh,86.5 gr,61.0,https://www.epey.com/tuslu-telefon/nokia-220-4g.html
Nokia 3310 (2017),,2.4 İnç,16 MB,1200 mAh,-,58.0,https://www.epey.com/tuslu-telefon/nokia-3310-2017-ta-1030.html
Nokia 3310 (2017),,2.4 İnç,16 MB,1200 mAh,-,58.0,https://www.epey.com/tuslu-telefon/nokia-3310-2017.html
Philips Xenium E168,,2.4 İnç,-,1600 mAh,100 gr,58.0,https://www.epey.com/tuslu-telefon/philips-xenium-e168.html
Quatro Mobile Q8,,2.8 İnç,-,1000 mAh,-,57.0,https://www.epey.com/tuslu-telefon/quatro-mobile-q8.html
Quatro Mobile Q7,,2.8 İnç,-,1000 mAh,-,57.0,https://www.epey.com/tuslu-telefon/quatro-mobile-q7.html
Alcatel Onetouch 2045X,,2.4 İnç,128 MB,850 mAh,72 gr,57.0,https://www.epey.com/tuslu-telefon/alcatel-onetouch-2045x.html
Philips E160,,2.4 İnç,-,1600 mAh,93.9 gr,57.0,https://www.epey.com/tuslu-telefon/philips-e160.html
Alcatel 2003G,,2.4 İnç,4 MB,970 mAh,72 gr,57.0,https://www.epey.com/tuslu-telefon/alcatel-2003g.html
Alcatel 2008G,,2.4 İnç,16 MB,1400 mAh,90 gr,56.0,https://www.epey.com/tuslu-telefon/alcatel-2008g.html
Alcatel 2008D,,2.4 İnç,16 MB,1400 mAh,90 gr,56.0,https://www.epey.com/tuslu-telefon/alcatel-2008d.html
Nokia 8110 4G,299.0,2.45 İnç,4096 MB,1500 mAh,117 gr,96.0,https://www.epey.com/tuslu-telefon/nokia-8110-4g.html
Samsung S5610,374.0,2.4 İnç,108 MB,1000 mAh,91 gr,63.0,https://www.epey.com/tuslu-telefon/samsung-s5610.html
Nokia 216,245.0,2.4 İnç,-,1020 mAh,82.6 gr,62.0,https://www.epey.com/tuslu-telefon/nokia-216.html
Nokia 216,249.0,2.4 İnç,-,1020 mAh,82.6 gr,62.0,https://www.epey.com/tuslu-telefon/nokia-216-dual-sim.html
Samsung B350E,249.0,2.4 İnç,32 MB,1200 mAh,89 gr,55.0,https://www.epey.com/tuslu-telefon/samsung-b350e.html
Nokia 225,279.0,2.8 İnç,-,1200 mAh,100.59 gr,54.0,https://www.epey.com/tuslu-telefon/nokia-225.html
Tinmo X7 Elite,322.5,2.4 İnç,8192 MB,-,-,54.0,https://www.epey.com/tuslu-telefon/tinmo-x7-elite.html
Nokia 222,220.0,2.4 İnç,-,1100 mAh,79 gr,53.0,https://www.epey.com/tuslu-telefon/nokia-222.html
Nokia 210,229.0,2.4 İnç,16 MB,1020 mAh,-,53.0,https://www.epey.com/tuslu-telefon/nokia-210.html
Alcatel 1066D,867.54,1.8 İnç,4 MB,400 mAh,63 gr,34.0,https://www.epey.com/tuslu-telefon/alcatel-1066d.html
Samsung B310E,210.0,2.0 İnç,-,800 mAh,75 gr,31.0,https://www.epey.com/tuslu-telefon/samsung-b310e.html
BB Mobile B310,215.0,1.7 İnç,-,800 mAh,66 gr,30.0,https://www.epey.com/tuslu-telefon/bb-mobile-b310.html
Anka Senior M9,259.0,1.8 İnç,-,1200 mAh,168 gr,29.0,https://www.epey.com/tuslu-telefon/anka-senior-m9.html
Anka M9,258.9,1.8 İnç,-,1200 mAh,168 gr,29.0,https://www.epey.com/tuslu-telefon/anka-m9.html
Nokia 100,235.0,1.8 İnç,-,850 mAh,69 gr,25.0,https://www.epey.com/tuslu-telefon/nokia-100.html
Samsung E1270,279.0,1.77 İnç,-,800 mAh,82.9 gr,22.0,https://www.epey.com/tuslu-telefon/samsung-e1270.html
Nokia 1280,434.99,1.36 İnç,-,800 mAh,81.92 gr,22.0,https://www.epey.com/tuslu-telefon/nokia-1280.html
BB Mobile E111,150.0,1.4 İnç,16 MB,800 mAh,72 gr,22.0,https://www.epey.com/tuslu-telefon/bb-mobile-e111.html
Hiking X11,190.0,1.77 İnç,-,800 mAh,69 gr,22.0,https://www.epey.com/tuslu-telefon/hiking-x11.html
Samsung E1205,199.9,1.52 İnç,8 MB,800 mAh,66 gr,21.0,https://www.epey.com/tuslu-telefon/samsung-e1205.html
Nokia 106 Dual SIM,169.9,1.8 İnç,-,800 mAh,70.2 gr,18.0,https://www.epey.com/tuslu-telefon/nokia-106.html
Samsung E1050,225.0,1.43 İnç,-,800 mAh,67.3 gr,15.0,https://www.epey.com/tuslu-telefon/samsung-e1050.html
Gigaset GL590,,2.8 İnç,32 MB,800 mAh,113 gr,55.0,https://www.epey.com/tuslu-telefon/gigaset-gl590.html
Tinmo X8 Plus,,2.8 İnç,-,800 mAh,-,54.0,https://www.epey.com/tuslu-telefon/tinmo-x8-plus.html
BB Mobile i1453,,2.2 İnç,-,800 mAh,92 gr,53.0,https://www.epey.com/tuslu-telefon/bb-mobile-i1453.html
Concord TR-90,,2.83 İnç,-,1200 mAh,-,53.0,https://www.epey.com/tuslu-telefon/concord-tr-90.html
Nokia 222 Dual SIM,,2.4 İnç,-,1100 mAh,79 gr,53.0,https://www.epey.com/tuslu-telefon/nokia-222-dual-sim.html
Hiking X2,,2.4 İnç,64 MB,800 mAh,-,48.0,https://www.epey.com/tuslu-telefon/hiking-x2.html
Samsung E2202,,1.77 İnç,128 MB,1000 mAh,78.2 gr,48.0,https://www.epey.com/tuslu-telefon/samsung-e2202.html
Hiking Z1,,2.4 İnç,-,800 mAh,-,47.0,https://www.epey.com/tuslu-telefon/hiking-z1.html
Alcatel Onetouch 2007X,,2.4 İnç,16 MB,750 mAh,72 gr,47.0,https://www.epey.com/tuslu-telefon/alcatel-onetouch-2007x.html
Alcatel 2051D,,2.4 İnç,8 MB,750 mAh,97 gr,46.0,https://www.epey.com/tuslu-telefon/alcatel-2051d.html
BB Mobile E113,,1.7 İnç,16 MB,800 mAh,83 gr,44.0,https://www.epey.com/tuslu-telefon/bb-mobile-e113.html
Alcatech E6700,,2.2 İnç,16 MB,1000 mAh,108 gr,43.0,https://www.epey.com/tuslu-telefon/alcatech-e6700.html
